,VALUE,SMILES,MolWt
966,-1.61,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)CH3,-1.0
967,-5.4,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH2CH2CH2CH2CH2CH2CH3,-1.0
968,-4.6,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH2CH2CH2CH2CH2CH3,-1.0
969,-3.95,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH2CH2CH2CH2CH3,-1.0
970,-3.26,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH2CH2CH2CH3,-1.0
971,-3.08,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH2CH2CH3,-1.0
972,-2.33,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH2CH3,-1.0
973,-2.62,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH2CH3,-1.0
974,-1.59,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OCH3,-1.0
975,-0.4,NH2C[4]:CH:CH:C(:CH:CH:@4)C(=O)OH,-1.0
976,-0.38,NH2C[4]:CH:CH:C(:CH:CH:@4)NH2,-1.0
977,-0.8,NH2C[4]:CH:CH:C(:CH:CH:@4)OH,-1.0
978,-0.41,NH2C[4]:CH:CH:CH:CH:CH:@4,-1.0
979,-3.21,NH2C[4]HCH(CH(OCH(CH@4OH)CH3)OC[22]HCH2C[27]HOC(CH2CH(CH@27C(=O)OH)OH)(CH2CH(CH2C[52]HOCH@52CH=[S=I]CHC(OCH(CH2CH=[S=I]CHCH=[S=I]CHCH=[S=I]CHCH=[S=N]CH@22)CH3)=O)OH)OH)OH,-1.0
980,-3.21,NH2C[4]HCH(CH(OCH(CH@4OH)CH3)OC[22]HCH2C[27]HOC(CH2CH(CH@27C(=O)OH)OH)(CH2CH(CH2C[52]HOCH@52CH=[S=N]CHC(OCH(CH2CH=[S=N]CHCH=[S=N]CHCH=[S=N]CHCH=[S=I]CH@22)CH3)=O)OH)OH)OH,-1.0
981,-2.4,NH2C[4]:N:C[6]:N:C(:C(:N:C:@6:C(:N:@4)NH2)C[17]:CH:CH:CH:CH:CH:@17)NH2,-1.0
982,-2.1,NH2C[4]:N:C(:C(:CH:N:@4)CH2C[14]:CH:C(:C(:C(:CH:@14)OCH3)OCH2CH2OCH3)OCH3)NH2,-1.0
983,-2.86,NH2C[4]:N:C(:C(:CH:N:@4)CH2C[14]:CH:C(:C(:C(:CH:@14)OCH3)OCH3)OCH3)NH2,-1.0
984,-1.28,NH2C[4]:N:C(:N:C(:CH:@4)CH3)CH3,-1.0
985,-2.12,NH2C[4]=C[5]N=CHN=C@5N=C=N@4,-1.0
986,-1.53,NH2CH2C[7]:CH:CH:CH:CH:CH:@7,-1.0
987,-1.12,NH2CH2CH2C[10]:CH:CH:C(:CH:CH:@10)OH,-1.0
988,-2.7,NH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2C(=O)OH,-1.0
989,-2.75,NH2CH2CH2CH2CH2CH2CH2CH2CH3,-1.0
990,-1.85,NH2CH2CH2CH2CH2CH2CH2CH3,-1.0
991,-1.1,NH2CH2CH2CH2CH2CH2CH3,-1.0
992,-1.71,NH2CH2CH(CH2CH2CH2CH3)CH2CH3,-1.0
993,-0.48,NH2CH2CH(OH)C[11]:CH:CH:CH:CH:CH:@11,-1.0
994,-1.6,NH2CH(CH2C[9]:CH:C(:C(:CH:CH:@9)OH)OH)C(=O)OH,-1.0
995,-2.57,NH2CH(CH2C[9]:CH:CH:C(:CH:CH:@9)OH)C(=O)OH,-1.0
996,-1.23,NH2CH(CH2C[9]:CH:CH:CH:CH:CH:@9)C(=O)OH,-1.0
997,-0.55,NH2CH(CH2CH2C(=O)NH2)C(=O)OH,-1.0
998,0.31,NH2CH(CH2CH3)C(=O)OH,-1.0
999,-0.74,NH2CH(CH2C(=O)NH2)C(=O)OH,-1.0
1000,1.08,NH2CH(CH2C(=O)OH)CH3,-1.0
1001,-0.09,NH2CH(CH(OH)CH3)C(=O)OH,-1.0
1002,-0.31,NH2C(=NC#N)NH2,-1.0
1003,-2.92,NH2C(=O)C[6]:C(:CH:CH:CH:CH:@6)C(=O)NH2,-1.0
1004,-1.76,NH2C(=O)C[6]:C(:CH:CH:CH:CH:@6)OH,-1.0
1005,-0.96,NH2C(=O)C[6]:CH:CH:CH:CH:CH:@6,-1.0
1006,0.61,NH2C(=O)C[6]:CH:N:CH:CH:CH:@6,-1.0
1007,-0.91,NH2C(=O)C[6]:N:CH:CH:N:CH:@6,-1.0
1008,1.58,NH2C(=O)CH3,-1.0
1009,0.96,NH2C(=O)CH=CH2,-1.0
1010,0.96,NH2C(=O)NH2,-1.0
1011,0.1,NH2C(=O)OC(CH3)(CH3)CH3,-1.0
1012,-0.35,NH2C(=O)OCH2C[10]:CH:CH:CH:CH:CH:@10,-1.0
1013,-1.67,NH2C(=O)OCH2C(CH2OC(=O)NH2)(CH2CH2CH3)CH3,-1.0
1014,-0.8,NH2C(=O)OCH2C(CH3)(CH3)CH3,-1.0
1015,-3.3,NH2C(=O)OCH2CH2CH2CH2CH2CH2CH2CH3,-1.0
1016,-2.62,NH2C(=O)OCH2CH2CH2CH2CH2CH2CH3,-1.0
1017,-1.92,NH2C(=O)OCH2CH2CH2CH2CH2CH3,-1.0
1018,-1.47,NH2C(=O)OCH2CH2CH2CH2CH3,-1.0
1019,-0.66,NH2C(=O)OCH2CH2CH2CH3,-1.0
1020,0.85,NH2C(=O)OCH2CH3,-1.0
1021,-0.3,NH2C(=O)OCH2CH(CH3)CH3,-1.0
1022,-0.99,NH2C(=O)OCH2CH(OH)CH2OC[18]:C(:CH:CH:CH:CH:@18)OCH3,-1.0
1023,0.97,NH2C(=O)OCH3,-1.0
1024,-3.78,NH(C[3]:C(:C(:CH:CH:CH:@3)CH3)CH3)C[20]:C(:CH:CH:CH:CH:@20)C(=O)OH,-1.0
1025,-2.24,NH(C[3]:C(:CH:CH:CH:CH:@3)OH)C(=O)CH3,-1.0
1026,-2.09,NH(C[3]:CH:C(:CH:CH:CH:@3)CH3)C(=O)CH3,-1.0
1027,-4.8,NH(C[3]:CH:C(:CH:CH:CH:@3)OC(=O)NHC[18]:CH:C(:CH:CH:CH:@18)CH3)C(=O)OCH3,-1.0
1028,-4.63,NH(C[3]:CH:C(:CH:CH:CH:@3)OC(=O)NHC[18]:CH:CH:CH:CH:CH:@18)C(=O)OCH2CH3,-1.0
1029,-1.58,NH(C[3]:CH:CH:C(:CH:CH:@3)CH=O)C(=O)CH3,-1.0
1030,-0.98,NH(C[3]:CH:CH:C(:CH:CH:@3)NH2)C(=O)CH3,-1.0
1031,-2.37,NH(C[3]:CH:CH:C(:CH:CH:@3)OCH2CH3)C(=O)CH3,-1.0
1032,-2.17,NH(C[3]:CH:CH:C(:CH:CH:@3)OCH2CH3)C(=O)NH2,-1.0
1033,-1.3,NH(C[3]:CH:CH:C(:CH:CH:@3)OCH3)C(=O)CH3,-1.0
1034,-1.91,NH(C[3]:CH:CH:C(:CH:CH:@3)OC(=O)CH3)C(=O)CH3,-1.0
1035,-1.03,NH(C[3]:CH:CH:C(:CH:CH:@3)OH)C(=O)CH3,-1.0
1036,-3.51,NH(C[3]:CH:CH:CH:CH:CH:@3)C[14]:CH:CH:CH:CH:CH:@14,-1.0
1037,-0.68,NH(C[3]:CH:CH:CH:CH:CH:@3)CH=O,-1.0
1038,-3.59,NH(C[3]:CH:CH:CH:CH:CH:@3)C(=O)C[16]:C(:CH:CH:CH:CH:@16)OH,-1.0
1039,-3.3,NH(C[3]:CH:CH:CH:CH:CH:@3)C(=O)C[16]=C(OCH=CH@16)CH3,-1.0
1040,-2.56,NH(C[3]:CH:CH:CH:CH:CH:@3)C(=O)C[16]=C(OCH2CH2CH2@16)CH3,-1.0
1041,-1.92,NH(C[3]:CH:CH:CH:CH:CH:@3)C(=O)CH2CH3,-1.0
1042,-1.33,NH(C[3]:CH:CH:CH:CH:CH:@3)C(=O)CH3,-1.0
1043,-3.15,NH(C[3]:CH:CH:CH:CH:CH:@3)C(=O)NHC[18]:CH:CH:CH:CH:CH:@18,-1.0
1044,-3.01,NH(C[3]HC[5]HC[7]HCH(CH(CH2@5)CH2@3)CH2CH2CH2@7)C(=O)N(CH3)CH3,-1.0
1045,-2.36,NH(C[3]HCH2CH2CH2CH2CH2CH2CH2@3)C(=O)N(CH3)CH3,-1.0
1046,-4.11,NH(C[3]HCH(CH2CH2CH2CH2@3)CH3)C(=O)NHC[27]:CH:CH:CH:CH:CH:@27,-1.0
1047,-0.5,NH(C[3]HCH(CH(CH(CH(CH2@3)NH2)OC[20]HOCH(CH(CH(CH@20OH)OH)OH)CH2NH2)OH)OC[46]HOCH(CH(CH(CH@46OH)NH2)OH)CH2OH)C(=O)CH(OH)CH2CH2NH2,-1.0
1048,-3.24,NH(C(CH3)(CH3)CH3)C[16]:N:C(:N:C(:N:@16)OCH3)NHCH2CH3,-1.0
1049,-1.22,NH(C(CH3)(CH3)CH3)CH2CH(OH)C[23]:CH:C(:C(:CH:CH:@23)OH)CH2OH,-1.0
1050,-0.95,NH(CH2C[6]:CH:CH:CH:CH:CH:@6)C(=O)NH2,-1.0
1051,-1.44,NH(CH2CH2CH2CH3)CH2CH2CH2CH3,-1.0
1052,-0.46,NH(CH2CH2CH3)CH2CH2CH3,-1.0
1053,-4.7,NH(CH2CH2OC[10]:CH:CH:C(:CH:CH:@10)OC[21]:CH:CH:CH:CH:CH:@21)C(=O)OCH2CH3,-1.0
1054,-3.27,NH(CH2CH2OC(=O)C[12]:CH:CH:C(:CH:CH:@12)NH2)CH2CH2CH2CH2CH3,-1.0
1055,-1.7,NH(CH2CH3)C[10]:CH:CH:CH:CH:CH:@10,-1.0
1056,-3.02,NH(CH2CH3)C[10]:N:C(:C(:C(:N:@10)CH3)CH2CH2CH2CH3)OH,-1.0
1057,-1.83,NH(CH2CH3)C(=O)CH(OC(=O)NHC[19]:CH:CH:CH:CH:CH:@19)CH3,-1.0
1058,-1.51,NH(CH2C(=O)OH)C(=NH)NH2,-1.0
1059,-1.68,NH(CH2C(=O)OH)C(=O)C[12]:CH:CH:CH:CH:CH:@12,-1.0
1060,-5.15,NH(CH2C(=O)OH)C(=O)CH2CH2CH(C[20]HC[22](CH(C[25]HCH(C[29](CH(CH2CH@25OH)CH2CH(CH2CH2@29)OH)CH3)CH2CH@22OH)CH2CH2@20)CH3)CH3,-1.0
1061,-2.88,NH(CH3)C[7]:C(:CH:CH:CH:CH:@7)C(=O)OH,-1.0
1062,-1.28,NH(CH3)C[7]:CH:CH:CH:CH:CH:@7,-1.0
1063,1.13,NH(CH3)C(=O)NH2,-1.0
1064,-2.8,NH(CH3)C(=O)OC[10]:C[11]:C(:CH:CH:CH:@10)CH2C(O@11)(CH3)CH3,-1.0
1065,-3.28,NH(CH3)C(=O)OC[10]:C[11]:C(:CH:CH:CH:@10):CH:CH:CH:CH:@11,-1.0
1066,-1.57,NH(CH3)C(=O)OC[10]:C(:CH:CH:CH:CH:@10)C[20]HOCH2CH2O@20,-1.0
1067,-2.86,NH(CH3)C(=O)OC[10]:C(:CH:CH:CH:CH:@10)CH(CH3)CH3,-1.0
1068,-2.05,NH(CH3)C(=O)OC[10]:C(:CH:CH:CH:CH:@10)OCH(CH3)CH3,-1.0
1069,-4.24,NH(CH3)C(=O)OC[10]:CH:C(:CH:C(:CH:@10)C(CH3)(CH3)CH3)C(CH3)(CH3)CH3,-1.0
1070,-2.58,NH(CH3)C(=O)OC[10]:CH:C(:CH:C(:CH:@10)CH3)CH3,-1.0
1071,-1.8,NH(CH3)C(=O)OC[10]:CH:C(:CH:CH:CH:@10)CH3,-1.0
1072,-1.8,NH(CH3)C(=O)OC[10]:CH:CH:CH:CH:CH:@10,-1.0
1073,-2.08,NH(CH(CH3)CH3)C[13]:N:C(:N:C(:N:@13)OCH3)NHCH2CH3,-1.0
1074,-2.48,NH(CH(CH3)CH3)C[13]:N:C(:N:C(:N:@13)OCH3)NHCH(CH3)CH3,-1.0
1075,-0.42,NH(CH(CH(OH)C[9]:CH:CH:CH:CH:CH:@9)CH3)CH3,-1.0
1076,-2.27,NH(C(=O)C[5]:CH:CH:CH:CH:CH:@5)C(=O)C[18]:CH:CH:CH:CH:CH:@18,-1.0
1077,-0.9,NH(C(=O)NH2)C(=O)CH3,-1.0
1078,0.07,NH(NH2)C[6]:CH:CH:CH:CH:CH:@6,-1.0
1079,1.34,NH(NH2)CH3,-1.0
1080,0.01,NH(NH2)C(=O)C[8]:CH:CH:N:CH:CH:@8,-1.0
1081,-2.33,NH(NH2)C(=O)NHC[10]:CH:CH:CH:CH:CH:@10,-1.0
1082,-2.92,NH(NHC[5]:CH:CH:CH:CH:CH:@5)C[16]:CH:CH:CH:CH:CH:@16,-1.0
1083,-2.46,NH(NHC(=O)C[7]=NOC(=CH@7)CH3)CH2C[20]:CH:CH:CH:CH:CH:@20,-1.0
1084,-0.74,NH(OH)C[5]:CH:CH:CH:CH:CH:@5,-1.0
1085,-3.04,NH(OH)C(=O)CH(CH3)C[13]:CH:CH:C(:CH:CH:@13)CH2CH(CH3)CH3,-1.0
1086,1.12,NH(OH)C(=O)NH2,-1.0
1087,-0.2,N(NHC(=O)CH2CH2C(=O)OH)(CH3)CH3,-1.0
1088,-3.75,N(N=O)(C[4]:CH:CH:CH:CH:CH:@4)C[15]:CH:CH:CH:CH:CH:@15,-1.0
1089,-0.96,N(N=O)(CH2CH3)C(=O)NH2,-1.0
1090,-0.85,N(N=O)(CH3)C(=O)NH2,-1.0
1091,-4.45,N(=NC[3]:CH:CH:CH:CH:CH:@3)C[14]:CH:CH:CH:CH:CH:@14,-1.0
1092,-1.84,O[1]C[2]C[3]HC[5](CH(CH@2C(CH(CH=CH@2)OH)(C@1=O)CH3)C(=O)OH)CH2C(CH2CH2@3)(C(CH2@5)=CH2)OH,-1.0
1093,-4.6,O[1]C[2]:C(:CH:CH:CH:CH:@2)C[12]:C@1:CH:CH:CH:CH:@12,-1.0
1094,-2.4,O[1]C[2]:C(:C(:C[5]:C(:C:@2OCH3)OCH=CH@5)OCH3)C(CH=C@1CH3)=O,-1.0
1095,-2.93,O[1]C[2]:C(:C(:CH:C(:CH:@2)OCH3)OH)C(C[18]:C@1:CH:CH:C(:CH:@18)OH)=O,-1.0
1096,-3.66,O[1]C[2]:C(:CH:C[6]:C(:C:@2OCH3)OC(CH=CH@6)=O)CH=CH@1,-1.0
1097,-4.31,O[1]C[2]:C(:CH:CH:C(:C:@2CH2CH=C(CH3)CH3)OCH3)CH=CHC@1=O,-1.0
1098,-1.89,O[1]C[2]:C(:CH:CH:CH:CH:@2)CH=CHC@1=O,-1.0
1099,-2.84,O[1]C[2]:C(:CH:CH:CH:CH:@2)C(=C(C@1=O)C[16]HCH2CH2CH2C[27]:C@16:CH:CH:CH:CH:@27)OH,-1.0
1100,-3.66,O[1]C[2]:C(:CH:CH:CH:CH:@2)C(=C(C@1=O)CH(C[18]=C(C[20]:C(:CH:CH:CH:CH:@20)OC@18=O)OH)C(=O)OCH2CH3)OH,-1.0
1101,-3.89,O[1]C[2]:C(:CH:CH:CH:CH:@2)C(=C(C@1=O)CH(CH2C(=O)CH3)C[27]:CH:CH:CH:CH:CH:@27)OH,-1.0
1102,-5.31,O[1]C[2]:C(:CH:CH:CH:CH:@2)OC[13]:C@1:CH:CH:CH:CH:@13,-1.0
1103,-1.64,O[1]C[2](CH2CH2CH(C@1(CH3)CH3)CH2CH2@2)CH3,-1.0
1104,-3.85,O[1]C[2]HC[4]HCH(C[8]HC(CH@1OH)(CH(CH2CH2@8)C(=O)CH2OH)CH2@2)CH2CH2C[39]=CHC(CH2CH2C@4@39CH3)=O,-1.0
1105,-4.42,O[1]C[2]HCH2OC[8]:C(:CH:C(:C(:CH:@8)OCH3)OCH3)CH@2C(C[29]:C@1:C[31]:C(:CH:CH:@29)OCH(CH2@31)C(=CH2)CH3)=O,-1.0
1106,-3.09,O[1]C[2]HCH(CH2CH2C[12](C@2=C(C(CH=CH@12)=O)CH3)CH3)CH(C@1=O)CH3,-1.0
1107,-0.27,O[1]C[2]HCH(CH(CH@1CH2CH2@2)C(=O)OH)C(=O)OH,-1.0
1108,-2.94,O[1]C[2]HCH(C(=CHC(=CH@2)OCH3)OH)C(C[20]HCH@1CH=CHC(=CH@20)OH)=O,-1.0
1109,-7.32,O[1]C[2]HCH(OCH2CH(CH2@2)CH3)CH2C[22](CH@1CH2C[28]HC@22(CH2CH2C[37]HCH@28CH=C[43]C(CH2@37)(CH2CH2CH(CH2@43)OH)CH3)CH3)CH3,-1.0
1110,-7.32,O[1]C[2](OCH2CH(CH2CH2@2)CH3)CH(C[21]HCH@1CH2C[28]HC@21(CH2CH2C[37]HCH@28CH2CH=C[46]C@37(CH2CH2CH(CH2@46)OH)CH3)CH3)CH3,-1.0
1111,-2.9,O[1]C(C[3]:C(:CH:CH:CH:CH:@3)C@1=O)(C[15]:CH:CH:C(:CH:CH:@15)OH)C[27]:CH:CH:C(:CH:CH:@27)OH,-1.0
1112,-1.39,O[1]C(C[3]:C(:CH:CH:CH:CH:@3)C@1=O)=O,-1.0
1113,-0.41,O[1]C(CH(CH(CH@1CH2OH)OH)OH)(OC[19]HOCH(CH(CH(CH@19OH)OH)OH)CH2OC[40]HOCH(CH(CH(CH@40OH)OH)OH)CH2OH)CH2OH,-1.0
1114,0.79,O[1]C(CH(CH(CH@1CH2OH)OH)OH)(OC[19]HOCH(CH(CH(CH@19OH)OH)OH)CH2OH)CH2OH,-1.0
1115,0.64,O[1]C(CH(CH(CH@1CH2OH)OH)OH)(OH)CH2OH,-1.0
1116,-0.1,O[1]C(=CHCH=CH@1)CH=O,-1.0
1117,-0.48,O[1]C(=CHCH=CH@1)C(=O)OH,-1.0
1118,0.64,O[1]C(CH(CH(CH(CH2@1)OH)OH)OH)(OH)CH2OH,-1.0
1119,-1.89,O[1]CH2C[5]:C(:C(:C(:CH:CH:@5)OCH3)OCH3)C@1=O,-1.0
1120,-2.7,O[1]CH2C[5](CH2C[9]=CHC(C(=CHC@9=C@5C[18]:C@1:C(:C(:CH:CH:@18)OH)OH)OH)=O)OH,-1.0
1121,-1.9,O[1]CH2C[5]HCH(C(=C(CH=CH@5)OCH3)OCH3)C@1=O,-1.0
1122,1.07,O[1]CH2CH2CH2C@1=O,-1.0
1123,0.56,O[1]CH2CH2CH2CH2@1,-1.0
1124,-0.03,O[1]CH2CH2CH2CH2CH2@1,-1.0
1125,1.05,O[1]CH2CH(CH2CH2@1)OH,-1.0
1126,-1.63,O[1]CH2OC[6]:C@1:CH:C(:CH:CH:@6)CH=O,-1.0
1127,-1.6,O[1]CH(CH2@1)C[7]:CH:CH:CH:CH:CH:@7,-1.0
1128,-0.59,O[1]CH(CH2@1)CH3,-1.0
1129,-3.62,O[1]CH(CH2C(C[8]:C@1:CH:C(:CH:C:@8OH)OH)=O)C[21]:CH:C(:C(:CH:CH:@21)OH)OH,-1.0
1130,0.11,O[1]CH(CH2CH2CH2@1)CH3,-1.0
1131,-6.01,O[1]CH(CH2CH(CH2C@1=O)OH)CH2CH2C[22]HC[24]HCH(CH2CH(CH=C@24CH=CHCH@22CH3)CH3)OC(=O)CH(CH2CH3)CH3,-1.0
1132,-4.08,O[1]CH(CH2CH(CH(CH@1CH3)OC[18]HOCH(CH(CH(CH2@18)OH)OH)CH3)OH)OC[41]HCH(OCH(CH2CH@41OH)OC[56]HCH2C[61]HC(C[64]HCH(C[68](C(CH(CH2@64)OH)(CH(CH2CH2@68)C[85]=CHC(OCH2@85)=O)CH3)OH)CH2CH2@61)(CH2CH2@56)CH3)CH3,-1.0
1133,-5.29,O[1]CH(CH2CH(CH(CH@1CH3)OC[18]HOCH(CH(CH(CH2@18)OH)OH)CH3)OH)OC[41]HCH(OCH(CH2CH@41OH)OC[56]HCH2C[61]HC(C[64]HCH(C[68](C(CH(CH2CH2@68)C[78]=CHC(OCH2@78)=O)(CH2CH2@64)CH3)OH)CH2CH2@61)(CH2CH2@56)CH3)CH3,-1.0
1134,-0.82,O[1]CH=CHCH=CH@1,-1.0
1135,-0.74,O[1]CH(CH(CH(CH(CH@1CH2OC[16]HOCH2CH(CH(CH@16OH)OH)OH)OH)OH)OH)OC[41]:C(:CH:CH:CH:CH:@41)C(=O)OCH3,-1.0
1136,-0.85,O[1]CH(CH(CH(CH(CH@1CH2OH)OH)OH)OH)OC[24]:C(:CH:CH:CH:CH:@24)CH2OH,-1.0
1137,-0.24,O[1]CH(CH(CH(CH(CH@1CH2OH)OH)OH)OH)OC[24]HCH(OCH(CH(CH@24OH)OH)OH)CH2OH,-1.0
1138,0.74,O[1]CH(CH(CH(CH(CH@1CH2OH)OH)OH)OH)OH,-1.0
1139,0.39,O[1]CH(CH(CH(CH(CH2@1)OH)OH)OH)OH,-1.0
1140,-3.57,O[1]CH(OCH2C[8]HOCH(CH(CH(CH@1@8)OH)OH)OC[24]HC[26]HCH2OC(CH@26CH(C[37]:C@24:CH:C[41]:C(:CH:@37)OCH2O@41)C[50]:CH:C(:C(:C(:CH:@50)OCH3)OH)OCH3)=O)CH3,-1.0
1141,-3.08,O[1]C[2]:C(:C(:CH:C(:CH:@2)OH)OH)C(C(=C@1C[17]:C(:CH:C(:CH:CH:@17)OH)OH)OH)=O,-1.0
1142,-1.99,O=C[2]C[3](C(CH(CH2CH2@3)CH2@2)(CH3)CH3)CH3,-1.0
1143,-5.19,O=C[2]C[3]:C(:CH:CH:CH:CH:@3)C(C[14]:C@2:CH:CH:CH:CH:@14)=O,-1.0
1144,-1.85,O=C[2]C[3](CH2CH(CH2CH2@3)C@2(CH3)CH3)CH3,-1.0
1145,-3.48,O=C[2]C[3](CH(C[6]HCH(C[10](CH2CH2C(CH=C@10CH2CH2@6)=O)CH3)C(CH2@3)=O)CH2CH2@2)CH3,-1.0
1146,-3.69,O=C[2]C[3](CH(C[6]HCH(C[10](CH2CH2C(CH=C@10CH2CH2@6)=O)CH3)CH2CH2@3)CH2CH2@2)CH3,-1.0
1147,-5.28,O(C[2](C[3](CH(C[6]HCH(C[10](CH2CH2C(CH=C@10CH2CH2@6)=O)CH3)CH2CH2@3)CH2CH2@2)CH3)CH3)C(=O)CH3,-1.0
1148,-5.35,O(C[2](C[3](CH(C[6]HCH(C[10](CH2CH2C(CH=C@10C(=CH@6)CH3)=O)CH3)CH2CH2@3)CH2CH2@2)CH3)C(=O)CH3)C(=O)CH3,-1.0
1149,-6.7,O=C[2]C[3](CH(C[6]HCH(C[10](CH(CH2CH2@6)CH2CH2CH2CH2@10)CH3)CH2CH2@3)CH2CH2@2)CH3,-1.0
1150,-4.79,O(C[2](C[3](CH(C[6]HCH(C[10]HCH2CH2C(CH=C@10CH2CH2@6)=O)CH2CH2@3)CH2CH2@2)CH3)C#CH)C(=O)CH3,-1.0
1151,-1.72,O(C[2]:C(:CH:CH:CH:CH:@2)C(=O)OH)C(=O)CH3,-1.0
1152,-1.06,O=C[2]CH2C(CH2C(=CH@2)CH3)(CH3)CH3,-1.0
1153,-5.27,O=C[2]CH2CH2C[9](C[10]HCH(C[14]HC(C(CH2CH2@14)(CH3)C(=O)CH3)(CH2CH2@10)CH3)CH=C(C@9=CH@2)CH3)CH3,-1.0
1154,-4.43,O=C[2]CH2CH2C[9](C[10]HCH(C[14]HC(CH(CH2CH2@14)C(=O)CH3)(CH2CH2@10)CH3)CH2CH2C@9=CH@2)CH3,-1.0
1155,-0.6,O=C[2]CH2CH2CH2CH2CH2@2,-1.0
1156,-1.87,O=C[2]CH2CH(CH2CH2CH2@2)CH3,-1.0
1157,-2.06,O=C[2]CH2CH(CH2CH=C@2CH3)C(=CH2)CH3,-1.0
1158,-4.11,O=C[2]CH(C(C[6]:C@2:CH:CH:CH:CH:@6)=O)C(=O)C(CH3)(CH3)CH3,-1.0
1159,-4.85,O(C[2]:CH:C(:CH:CH:CH:@2)CH3)C[16]:CH:C(:CH:CH:CH:@16)CH3,-1.0
1160,-0.94,O=C[2]CH(CH2CH2CH2CH2@2)CH3,-1.0
1161,-2.18,O=C[2]CH(CH2CH2CH(CH2@2)C(=CH2)CH3)CH3,-1.0
1162,-2.49,O=C[2]CH(CH2CH2CH(CH2@2)CH3)CH(CH3)CH3,-1.0
1163,-3.96,O(C[2]:CH:CH:CH:CH:CH:@2)C[13]:CH:CH:CH:CH:CH:@13,-1.0
1164,-3.15,O(C[2]:CH:CH:CH:CH:CH:@2)C(=O)C[15]:C(:CH:CH:CH:CH:@15)OH,-1.0
1165,-2.85,O(C[2]:CH:CH:CH:CH:CH:@2)C(=O)C[15]:CH:CH:CH:CH:CH:@15,-1.0
1166,-0.99,O=C[2]CH=CHC(CH=CH@2)=O,-1.0
1167,-3.03,O=C[2]C[3]:C(:CH:CH:CH:CH:@3)C(CH=C@2CH3)=O,-1.0
1168,-5.37,O(C[2]HC[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH2CH2@4)CH2CH2@2)CH3)C(=O)CH2CH3,-1.0
1169,-5.18,O(C[2]HC[4](CH(C[7]HCH(C[11](CH2CH2C(CH=C@11CH2CH2@7)=O)CH3)CH2CH2@4)CH2CH2@2)CH3)C(=O)CH3,-1.0
1170,-4.46,O(C[2]HCH2CH2C[10](C[11]HCH(C[15]HC(CH2CH2@11)(C(CH2CH2@15)=O)CH3)CH2CH=C@10CH2@2)CH3)C(=O)CH3,-1.0
1171,-1.67,O(C[2]HCH2CH2CH2CH2CH2@2)C(=O)CH3,-1.0
1172,-3.12,O=C(C[3]:CH:CH:CH:CH:CH:@3)C[14]:CH:CH:CH:CH:CH:@14,-1.0
1173,-1.63,O=C(C(CH3)(CH3)CH3)CH2C(=O)CH3,-1.0
1174,-0.72,O=C(C(CH3)(CH3)CH3)CH3,-1.0
1175,-3.31,O=C(CH2CH2CH2CH2CH2CH2CH2CH3)CH3,-1.0
1176,-2.58,O=C(CH2CH2CH2CH2CH2CH2CH3)CH3,-1.0
1177,-2.05,O=C(CH2CH2CH2CH2CH2CH3)CH3,-1.0
1178,-1.42,O=C(CH2CH2CH2CH2CH3)CH3,-1.0
1179,-2.59,O=C(CH2CH2CH2CH3)CH2CH2CH2CH3,-1.0
1180,-1.56,O=C(CH2CH2CH2CH3)CH2C(=O)CH3,-1.0
1181,-0.8,O=C(CH2CH2CH2CH3)CH3,-1.0
1182,-5.19,O(C(CH2CH2CH2CH(CH2CH=CHC(=CHC(=O)OCH(CH3)CH3)CH3)CH3)(CH3)CH3)CH3,-1.0
1183,-1.3,O=C(CH2CH2CH3)CH2CH2CH3,-1.0
1184,-0.83,O=C(CH2CH2CH3)CH2CH3,-1.0
1185,-0.19,O=C(CH2CH2CH3)CH3,-1.0
1186,-0.83,O=C(CH2CH2CH3)CH=CH2,-1.0
1187,-1.33,O=C(CH2CH2CH(CH3)CH3)CH3,-1.0
1188,-1.83,O=C(CH2CH3)C[10]:CH:CH:CH:CH:CH:@10,-1.0
1189,-0.28,O=C(CH2CH3)CH2CH3,-1.0
1190,0.52,O=C(CH2CH3)CH3,-1.0
1191,-1.6,O=C(CH2CH(CH3)CH3)CH2C(=O)CH3,-1.0
1192,-1.42,O=C(CH2CH(CH3)CH3)CH3,-1.0
1193,0.22,O=C(CH2C(=O)CH3)CH3,-1.0
1194,-1.28,O=C(CH3)C[7]:CH:CH:CH:CH:CH:@7,-1.0
1195,-0.24,O(C(CH3)(CH3)CH3)CH3,-1.0
1196,-0.88,O=C(CH(CH2CH2CH3)C(=O)CH3)CH3,-1.0
1197,-0.67,O=C(CH(CH2CH3)CH3)CH3,-1.0
